clean_text_string,modularity_class
eindelijk kozp relschoppers weggejaagd wakkere volendammers nl verdedigen moeten,2
eentje lisa n nutteloos links stuk deugtuig durft zeggen islamitische intee,2
bij1 kozp meest racistische groeperingen nederland nederland thuishoren marokko n,2
actie voeren prima ruggen kinderfeest part vraag onafhankel,2
yasser filmpje duidelijk gemist selectief verontwaardigd we horen alleen k,2
vreedzame wel verband kozp tweet even onzinnig demo kozp volendam verzi,2
dwaaslicht durf stelletje klaplopers kozp verdedigen snap wel,2
vreedzaamheid hoofd moeten zitten gedachten kozp verre,2
noem agressieve gajes kozp vreedzaam jij bent echt helemaal los werkelijkhei,2
hilarisch uitzwaaien gaan gasten kozp af zeg heerlijk hopelijk zien,2
gelukkig zien we steeds zwarte pieten weer school kleinkinderen leuk gezellig ee,2
mogen we kozp preventief laten ruimen,2
nos be like tienduizenden rechtsextremisten verjagen vreedzame kozp s,2
soms weten ver gaat nederlands kozp,2
kozp demonstreren volendam eitje idd,2
werden vrolijk uitgezwaaid zag filmpje meent komt doordat v,2
kozp veranderd z,2
hahaha geweldig kickout kozp,2
prima hoort hele bende kozp moeten heel nederland behandeld volendam geeft h,2
zwarte piet zien precies ergste kozp begint gewoon strafexpeditie willekeurige mensen airfrieyie kwam nota bene asielzoeker tijd uitgezet hoog toren blaast,2
demonstratierecht volendam vandaag demonstratie aangemeld kozp e,2
betwijfel rutgergrootwassink beklaagt recht demonstratie gedrang komt net z,2
he rutger wilde net t zelfde zeggen echht hele relevante lui kozp helemaal provocerend heel nede,2
kwamen puur rellen volendam houd slachtofferrol kozp,2
bizar enge lui kozp verborgen agenda leuk kinderfeest verziekt onaangekondigd,2
welk recht maken zichzelf onmogelijk onaangekondigd gaan demonstreren lijkt kozp on,2
berichtgeving begreep kozp begon gooien eieren volendammers,2
gezien reacties ongeveer laatste kozp steunt,2
kozp staat waar afkorting staat raddraaiers iedere kozp vol,2
kwamen volgens alleen vis eieren halen kozp,2
zeurpieten grote bus gesubsidieerd nederlandse volk tijdperk kozp,2
voorspelbaar kozp doet erom,2
ga vrienden mee maken shashi bv,2
f y vuile profiteur lafbek kickout kozp teringhelpers landverraders kots erop weet,2
kozp vogel vrij,2
faillissement nldse rechtsstaat beeld zooitje zwarte agitatoren blanke kanonnenvoe,2
kozp fanclub,2
oproerkraaier gelooft zichzelf geheel betrouwbaar gezien z n leugens verleden,2
hoorde vooral bananen favoriet kozp leden,2
kozp drijft schare vernikkerde blanken term jean raspail,2
kozp schamen,2
volendam stad goud randje weg anti zwarte pieten volendam invallen di,2
uitlokking kozp strafbaar,2
allochtonen deugblad diep moeten schamen kozp tuig meerdere malen vriendeli,2
ach slachtofferrol kozp we gewend subsidieslurpers kicked out kozp geweldig volendammer,2
gedrag kozp ongehoord stormen schreeuwend stad binnen bezielt,2
kozp zichzelf schamen,2
kozp volendam helemaal niks zoeken demonstratieverbod moeten zeiken,2
zielig kozp decipelen grauwe grijze dagen hen december normaal teken staat voo,2
jesse begrijpt volendammers volledig schijt kozp gewoon sinterklaas willen,2
kozp vreedzaam klaver wakker bent nederlander betwijfel onze tradities blijf af,2
kozp dient buiten bereik kinderen gehouden,2
einde corona maatregelen einde klimaat onzin einde islamisering einde zorg afschalen einde baantjes carroussel einde koz,4
nieuwe traditie maak jeu oliebol volendam kozp,4
oke keer per jaar echte purge gelederen kozp,4
groenlinks d66 kozp,4
gouwe ouwe ultralinkse weer nare zure kozp weer veren reet zouden steken saneerdenpo,4
trots volendam kick out kozp,4
bye bye kozp volendam,4
trots volendam kick out kozp,4
dom laf deugend blank kutvolk kozp,4
heerlijk zien broodje euh oliebol eigen deeg kozp,4
zwartepiet maakt sinterklaas andersom los elkaar net ongeloofwaardig lachwekkend woke blm fanaticus zegt ie inclusiviteit,4
zwartepiet loop tijd veranderd jezelf kind opgegroeid sinterklaas jou racist gemaakt blijkbaar praat poep,4
jammer pek veren stad werden getrapt zwartepiet,4
haalt oude racistisch gekenmerkte artikelen tevoorschijn vergelijkt zwartepiet eeuw heet framing domme aardappel,4
maken sylvana ingrid co net gros nederland misselijke acties kozp zat racisme maken verandering dr samenleving zoals kozp werkt averechts,2
vind kozp politie jongen natuurlijk wel moeten houden,2
anders verwacht verwacht volendammers kozp mensen hartelijk welkom zouden heten,2
kozp erg geliefd,2
visschotel besteld volendam kozp bij1 sylvanasimons pvv dvd sinterklaas,2
stelling kozp verboden kozp volendam zwartepiet,2
bekende slachtofferrol agressor d66 klassen justitie mee kozp,2
net nieuws kozp bekogeld vuurwerk stenen visafval laatste klopt eerste twee politie graag foto s help even ok vinden,2
huis advocaat kozp,2
advocaat wel zeer waarschijnlijk groot aantal kozp cli nt,2
zegt kozp liefje,2
begin kozp,2
straalt af verklaring onnodig wel lid kozp gok,2
zwartepietenjournaal zit weer we sluiten af nieuwste liedje coole piet diego sinterklaas pakjesavo,3
laatste aflevering zwartepietenjournaal gemist mooie gedicht fvd leest,3
valt best wel zeggen gisteren volendam gebeurt net sylvana simons reacties,3
zwartepiet pvvgr22,3
hulde volendam dorp uitslaan kozp tuig,3
kozp iedereen zwarte piet dm stuur adres zien we verder,3
subsidies kozp gaan ingezet voedselbanken miljar,3
trots volendammer s net akties friesland gewoon standaard oprotten kic,3
zie bijvoorbeeld uitspraak john jhinnoe voormalig d66 raadslid haarlemmermeer bestuurslid,3
volendam kozp,3
hema doet zwartepiet uitingen winkel wel tompoucen alleen sinterkl,2
sinterklaas kozp,2
fijne pakjes middag avond allemaal maxverstappen f1 mightymax sinterklaas zwartepiet pakjesavond pakjesmiddag h,2
pakjesavond ochtend geval lekker spullen spelen vanmiddag rust terug huis bedankt sinterkla,2
today it s sinterklaas today with all kids and family the kids will get their presents don t f ck with us kozp rutte an,2
hoezee hoezee hermen j jacobs hu zwartepiet sinterklaas hoezee hoezee,2
sint piet dagelijkse kleding sinterklaas pakjesavond zwartepietisgeenracisme kozp,2
helpt 1000 volgers vaccinatieplicht volendam oversterfte vaccinatieschade vaccin kozp terugvolgza,2
hugodeqrankzinnige joden nogreenpass passsanitaire tribunaal iksteundoutzen ikdoenietmeermee utrecht kozp,2
hugodeqrankzinnige joden nogreenpass passsanitaire tribunaal iksteundoutzen hugodejongestaptop utrech,2
mooie dag weer zwartepiet sinterklaas,2
respondenten gezocht onderzoek onderwerp zwarte pietendiscussie nederland via,2
goedzo opdonderen kozp video,1
kozp demonstranten aangevallen volendam,1
yasser filmpje duidelijk gemist selectief verontwaardigd we horen alleen kozp blm antifa ander extreem linkse onzin,1
weg kozp cent geven klaar aifryer co,1
losers kozp maakten gebruik gratis gesubsidieerde bus vereniging groengrijs tja ma,2
salticidae druipt marxistisch kozp tuig af anti pieten demonstratie wegwezen nooit terugkomen zwartepiet,2
salticidae w t heldin kozp marxisten vluchten staart tussen benen weg volendam twitter huiliehu,2
dame eierloos doof gemaakt kozp betaalt kozp kosten gehoorapparaat,0
update volendam kozp zie friese vlag bus kijk sponsor ggz friesland,0
joh hadden protesterende kozp ers moeten arresteren hadden helemaal vergunning actie,0
onzin volendammers laten jaren tegengeluid horen half nederland doet jaren kozp gaat steeds verder lokken plegen geweld vanaf eerste demonstratie weer,0
neuh degene mening willen doorduwen ten koste meestal megafoons enzo oliebollen reactie kozp volendam gemarcheerd mensen gehoorbeschadigingen toegebracht oliebol gegooid,0
kijkt ziet ontdaan kozp lijkt 30cm moedertje megafoon gezicht uitmaken racist dooddoener pff,0
pakjes avond sinterklaasavond weet zenuwachtig schrok geklopt deur,0
aanvaring volendam tussen tegenstanders zwarte piet via volgens kozp woordvoerder jerry afriyie demonstranten belaagd zeker vierhonderd volendammers bekogeld gaat volendam,0
eieren gooien blijkt strafbaar boete kleine taakstraf ondenkbaar wachten werkschuwe tuig kozp kruipt slachtofferrol gaat uitspelen,0
kozp ontdaan belagen demonstranten volendam politie keek weg kozp bekijkt moment advocaten welke juridische stappen gezet gewelddadige optreden demonstranten,0
jij verdomme helemaal 83 volgers weet moeder wel stichtingetje speelt,1
sodemieter gek ga paar boeken lezen kom terug gejank,1
niemand komt vrijwillig volendam generaties inteelt visafval ga wel overal genocide zien cultuur trots moraal laatste 100 jaar waargenomen,1
onnozelaar,1
kozp geeft toe zwarte piet ordinair breekijzer gebruiken geld,3
riooljournalistiek ten eerste onaangekondigde demo politie daarop voorbereid ten 2e welke droeftoeter gaat schreeuwend megafoon provocerend markt pek veren kozp,3
hoppa weg buitenlandse haters nederlandse cultuur zwartepiet volendam,2
kick out kozp,2
vreedzame demonstranten gek groepje racisten kozp verkondigd vaak genoeg geweld nou gaan zitten huilen,2
bedoeld subsidie trekkend racisties clubje kozp beetje onwaarheden verkondigen n lultoeter jij blind bent zegt,2
wij praat lekrrr straattaal bussie kut kozp werkeloze kutlui,2
mooi kut racisten kozp,2
racisten kozp o nee past skitzo plaatje,2
rot racisme kozp werkelijke racisten,2
vuile werkeloze kutlui kozp,2
trouwens weer tijd jaarlijkse bookert tweet fijne sinterklaas zwartepiet kersemus allen,2
nadeel wel kozp afriye komende week wss podium krijgt elke praattafel ieder geval margriet v d li,2
alle fans zp racisten alle racisten wel fan zp denk goed kozp,2
bedenken mensen opwinden acties kozp eigenlijk cht ergens o,2
zien gefilmd snel weglopen laf hoor volendam kozp,2
think about that everyone equal age color country doesn t matter where you come from this a day for everyone no one gets excluded you ask the question who gets excluded well tell where are the normal people kozp blackface,2
schijnt gelogen burgemeester intocht,2
today it s sinterklaas today with all kids and family the kids will get their presents don t f ck with us searching for the angry white man thenetherlands the 21st cent dutch blackpete blackface kozp facebook understands it why don t you,2
vreselijk racistisch kutland nl racisme laten wij zeggen 2 maanden per jaar drempel racistisch stuk lager ligt rest jaar gelukkig bibliotheken bioscopen bol black pete ban kozp,2
kozp,2
