index,tweet_id,username,text,tweet_source,tweet_source_link,rt_count,fav_count,clean_text
0,1467511137755353097,SteveSarian1,"RT @Bij88941056: @fdavw @SylvanaBIJ1 EINDELIJK.
KOZP-relschoppers zijn weggejaagd door wakkere Volendammers die NL verdedigen.
Nu moeten de…",Twitter Web App,https://mobile.twitter.com,2,0,"['eindelijk', 'kozp', 'relschoppers', 'weggejaagd', 'wakkere', 'volendammers', 'nl', 'verdedigen', 'moeten']"
1,1467511122513305600,defret5,RT @lewinskylou2: Tweeluik met @diederikebbinge die niet weet dat Ghana het vaderland van de Ghanese KOZP-leider uit Ghana is. https://t.co…,Twitter for Android,http://twitter.com/download/android,11,0,"['tweeluik', 'weet', 'ghana', 'vaderland', 'ghanese', 'kozp', 'leider', 'ghana']"
2,1467511094377865219,DerrickDuc,"RT @Harm_Zwiers: @jesseklaver Als je wil actie voeren prima maar niet over ruggen van een kinderfeest.
Van mijn part vraag je op onafhankel…",Twitter for iPhone,http://twitter.com/download/iphone,1,0,"['actie', 'voeren', 'prima', 'ruggen', 'kinderfeest', 'part', 'vraag', 'onafhankel']"
3,1467511079932682250,BramTheunissen1,"RT @Messentracker: Einde Corona maatregelen
Einde klimaat-onzin
Einde islamisering
Einde zorg afschalen
Einde baantjes carroussel
Einde KOZ…",Twitter Web App,https://mobile.twitter.com,1,0,"['einde', 'corona', 'maatregelen', 'einde', 'klimaat', 'onzin', 'einde', 'islamisering', 'einde', 'zorg', 'afschalen', 'einde', 'baantjes', 'carroussel', 'einde', 'koz']"
5,1467511050610348038,DerrickDuc,"RT @Jaaph: @jesseklaver Yasser heeft het filmpje ook duidelijk gemist. En ook nog  selectief verontwaardigd, want we horen hem alleen bij k…",Twitter for iPhone,http://twitter.com/download/iphone,1,0,"['yasser', 'filmpje', 'duidelijk', 'gemist', 'selectief', 'verontwaardigd', 'we', 'horen', 'alleen', 'k']"
6,1467510948789473288,hanszuidinga,"RT @rallyjef2: Iemand een visschotel besteld?

#volendam #kozp #bij1 #SylvanaSimons #pvv #dvd #sinterklaas https://t.co/NYIi9QUevv",Twitter for Android,http://twitter.com/download/android,82,0,"['visschotel', 'besteld', 'volendam', 'kozp', 'bij1', 'sylvanasimons', 'pvv', 'dvd', 'sinterklaas']"
7,1467510913175539715,JHaeyere,RT @Belgonerd1: #zwartepiet https://t.co/ObwqTyOUf2,Twitter for Android,http://twitter.com/download/android,9,0,['zwartepiet']
8,1467510888282435586,spekkie70,RT @VrouwvdVrijheid: 1. KOZP kwam zonder aankondiging. 2. Jerry stond met zijn megafoon provocerend te schreeuwen in t gezicht van een vrou…,Twitter Web App,https://mobile.twitter.com,55,0,"['1', 'kozp', 'kwam', 'aankondiging', '2', 'jerry', 'stond', 'megafoon', 'provocerend', 'schreeuwen', 't', 'gezicht', 'vrou']"
9,1467510875703623685,man_gewone,"RT @ShashiRoopram: Als je niet in Volendam woont of er nooit geweest bent, maar wel met een bus vol KOZP activisten er naar toe reist om do…",Twitter for iPad,http://twitter.com/#!/download/ipad,408,0,"['volendam', 'woont', 'nooit', 'bent', 'wel', 'bus', 'vol', 'kozp', 'activisten', 'toe', 'reist', 'do']"
11,1467510766207180802,BramTheunissen1,"RT @VrouwvdVrijheid: Nieuwe traditie in de maak: Jeu de Oliebol. 

#volendam #kozp https://t.co/mYRyAoCEag",Twitter Web App,https://mobile.twitter.com,84,0,"['nieuwe', 'traditie', 'maak', 'jeu', 'oliebol', 'volendam', 'kozp']"
