Id,Label,timeset,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,clustering,eigencentrality,modularity_class
SteveSarian1,SteveSarian1,,0,641,0,2,2,0,3,3,14,0.150768,0.185793,0,0,0.000287,0.000143,0,0,2
Bij88941056,Bij88941056,,0,634,13,39,52,17,52,69,13,0.156791,0.211868,82495.852103,0.005718,0.059115,0.000645,0.008163,0.036033,2
lewinskylou2,lewinskylou2,,0,307,7,1,8,7,1,8,1,1,1,1295,0.00697,0.00016,0.00049,0.017857,0.015935,1
DerrickDuc,DerrickDuc,,0,634,3,46,49,3,47,50,13,0.197248,0.272569,287509.160203,0.001838,0.000917,0.000238,0,0.006941,2
Harm_Zwiers,Harm_Zwiers,,0,634,2,4,6,3,5,8,22,0.072789,0.091677,5229.40266,0.000604,0.01924,0.000177,0.05,0.011134,2
BramTheunissen1,BramTheunissen1,,0,647,2,12,14,6,17,23,13,0.146211,0.175942,2958.82619,0.001406,0.052877,0.000234,0.012821,0.005374,4
Messentracker,Messentracker,,0,646,1,1,2,1,1,2,1,1,1,7,0.00265,0.000025,0.00016,0,0.002933,2
Dutchfan33,Dutchfan33,,0,648,0,3,3,0,3,3,2,0.8,0.875,0,0,0.017352,0.000143,0,0,2
SylvanaBIJ1,SylvanaBIJ1,,0,109,152,0,152,185,0,185,0,0,0,0,0.195546,0,0.009433,0.001394,0.447703,1
Jaaph,Jaaph,,0,607,2,2,4,2,2,4,1,1,1,95.193864,0.000063,0.010152,0.000235,0,0.005617,1
hanszuidinga,hanszuidinga,,0,658,0,3,3,0,3,3,17,0.110151,0.133252,0,0,0.000648,0.000143,0,0,2
rallyjef2,rallyjef2,,0,61,24,0,24,30,0,30,0,0,0,0,0.008286,0,0.001376,0.012681,0.062863,2
VrouwvdVrijheid,VrouwvdVrijheid,,0,95,69,1,70,77,1,78,1,1,1,1340,0.078861,0,0.003406,0.001863,0.181042,2
