Id,Label,timeset,componentnumber,strongcompnum,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,clustering,eigencentrality
Dutchfan33,Dutchfan33,,0,5,1,4,5,1,4,5,2,0.833333,0.9,5,0,0.018119,0,0.000209,0,0.001911
SylvanaBIJ1,SylvanaBIJ1,,0,4,196,0,196,234,0,234,0,0,0,0,0.220749,0,1,0.010572,0.000759,0.481908
robknijff27,robknijff27,,0,502,1,10,11,1,11,12,24,0.097075,0.134384,1362,0.000068,0.015177,0,0.000135,0.044444,0.00296
yungquichot,yungquichot,,0,501,1,0,1,1,0,1,0,0,0,0,0.000746,0,0,0.000124,0,0.002529
BartNijman,BartNijman,,0,492,71,4,75,77,4,81,23,0.095366,0.12238,90516.2,0.040744,0.000798,0,0.004817,0.003044,0.209477
Jaaph,Jaaph,,0,503,0,2,2,0,2,2,1,1,1,0,0,0.010439,4,0.000113,0,0
jesseklaver,jesseklaver,,0,61,182,0,182,240,0,240,0,0,0,0,0.179114,0,4,0.009433,0.001973,0.492083
Mapacho111,Mapacho111,,0,504,0,1,1,0,1,1,1,1,1,0,0,0.008802,4,0.000113,0,0
NederbelgJ,NederbelgJ,,0,525,1,3,4,4,12,16,13,0.158313,0.194977,0,0.006968,0.032312,1,0.000117,0.5,0.004484
SUGenocide,SUGenocide,,0,525,4,40,44,10,106,116,12,0.186731,0.257396,5604.5,0.006766,0.141799,1,0.00021,0.025,0.013126
oornstein,oornstein,,0,492,34,5,39,55,6,61,22,0.072514,0.091672,13425.25,0.046935,0.031698,1,0.001513,0.024291,0.107836
kozwartepiet,kozwartepiet,,0,492,292,11,303,491,11,502,21,0.077606,0.101621,279309.301335,0.603839,0.043948,1,0.023493,0.004316,1
JanKeyzer2,JanKeyzer2,,0,526,0,1,1,0,3,3,1,1,1,0,0,0.010848,1,0.000113,0,0
GraafR2,GraafR2,,0,532,0,10,10,0,11,11,25,0.088228,0.117597,0,0,0.029683,0,0.000113,0,0
Pattysaurus_,Pattysaurus_,,0,533,0,1,1,0,1,1,1,1,1,0,0,0.008802,4,0.000113,0,0
elmer079,elmer079,,0,492,4,3,7,4,3,7,23,0.082103,0.101117,20480.166667,0.002305,0,5,0.000363,0,0.010279
robhonig,robhonig,,0,492,1,6,7,1,6,7,24,0.075968,0.09345,3482,0,0.005706,5,0.000216,0,0.004167
FiliaVeritas,FiliaVeritas,,0,541,2,14,16,2,23,25,24,0.098034,0.153898,1183.333333,0.000892,0.019021,0,0.000174,0.076923,0.005069
W0mmetje,W0mmetje,,0,540,1,3,4,1,3,4,1,1,1,4,0.000935,0.032955,0,0.000123,0.083333,0.003033
HartvNL,HartvNL,,0,125,249,0,249,295,0,295,0,0,0,0,0.270749,0,0,0.014237,0.000826,0.583035
PatWeening,PatWeening,,0,543,0,2,2,0,2,2,2,0.75,0.833333,0,0,0.02376,2,0.000113,0,0
jasonwalters85,jasonwalters85,,0,542,5,0,5,5,0,5,0,0,0,0,0.001539,0,2,0.000406,0,0.010604
TheRebelThePoet,TheRebelThePoet,,0,30,225,1,226,326,1,327,1,1,1,1175.583333,0.481969,0.002505,1,0.012742,0.003658,0.801828
MikeEhrmantrau9,MikeEhrmantrau9,,0,547,0,3,3,0,3,3,1,1,1,0,0,0.000086,0,0.000113,0,0
Judge79564714,Judge79564714,,0,546,1,0,1,1,0,1,0,0,0,0,0.000004,0,0,0.000145,0,0.001911
NadiaBouras,NadiaBouras,,0,545,4,0,4,8,0,8,0,0,0,0,0.001751,0,0,0.000182,0,0.008205
soulsister4u,soulsister4u,,0,544,1,0,1,1,0,1,0,0,0,0,0.000004,0,0,0.000145,0,0.001911
Schilinde,Schilinde,,0,548,0,2,2,0,2,2,1,1,1,0,0,0.011325,1,0.000113,0,0
DenKozp,DenKozp,,0,199,14,0,14,16,0,16,0,0,0,0,0.009715,0,5,0.000776,0,0.037302
Dewik2013,Dewik2013,,0,551,0,6,6,0,6,6,2,0.875,0.928571,0,0,0.028531,0,0.000113,0,0
Alphae1978,Alphae1978,,0,492,2,20,22,3,43,46,13,0.162443,0.214747,46665.366667,0.001152,0.009377,3,0.000167,0.036842,0.013959
DeMariekeK,DeMariekeK,,0,492,33,10,43,36,15,51,22,0.076756,0.114461,53849.512302,0.035674,0.046244,4,0.000989,0.037821,0.088549
